,Accuracy (%),Time (s)
KNN,84.61538461538461,0.1825106143951416
Stacking,84.61538461538461,4.4630701541900635
RF,96.15384615384616,5.451426029205322
LR,92.3076923076923,0.060843467712402344
Adaboost,73.07692307692307,4.306488037109375
SVM,96.15384615384616,0.035906076431274414
DT,96.15384615384616,0.02991962432861328
GBDT,88.46153846153845,6.994124412536621
